"Story","Title","Result","Date","Stability","Duration (s)"
"add product","add product","ERROR","2022-08-29T16:44:59.7561052-05:00[America/Bogota]","0.0","7.99"
"add product","Login Fail","ERROR","2022-08-29T16:45:08.1349126-05:00[America/Bogota]","0.0","3.33"
